@relation InstanceResultListener

@attribute Key_Dataset {car}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 20.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 30.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 40.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 50.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 60.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 70.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 80.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 100.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

car,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1555,173,158,15,0,91.32948,8.67052,0,0.817369,0.050108,0.190259,21.881904,56.277372,207.771695,7541.868354,-7334.096659,1.200992,43.594615,-42.393622,167.904709,0.970547,13866.059708,0.942149,114,0.019231,1,0.980769,51,0.057851,7,0.991304,0.942149,0.966102,0.969882,0.913295,0.028227,0.971773,0.086705,0.921331,0.913295,0.914622,0.965827,0.003,0,0.002511,0.000255,43454,134785,17315,?
car,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1555,173,156,17,0,90.17341,9.82659,0,0.789357,0.048725,0.177621,21.277979,52.539033,207.771695,3256.347409,-3048.575714,1.200992,18.822817,-17.621825,163.169226,0.943175,13474.989769,0.933884,113,0.057692,3,0.942308,49,0.066116,8,0.974138,0.933884,0.953586,0.984901,0.901734,0.061027,0.938973,0.098266,0.909368,0.901734,0.901502,0.977191,0.007,0,0.005643,0.000169,40612,134785,17315,?
car,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1555,173,160,13,0,92.485549,7.514451,0,0.831371,0.04164,0.167003,18.18377,49.398353,207.771695,3249.519439,-3041.747744,1.200992,18.783349,-17.582357,170.986138,0.988359,14120.533158,0.991736,120,0.115385,6,0.884615,46,0.008264,1,0.952381,0.991736,0.97166,0.99547,0.924855,0.086652,0.913348,0.075145,0.925535,0.924855,0.922806,0.983504,0.002,0,0.001716,0.000112,40605,134785,17315,?
car,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1555,173,159,14,0,91.907514,8.092486,0,0.824059,0.043411,0.17194,18.95753,50.858759,207.771695,5392.877868,-5185.106173,1.200992,31.172704,-29.971712,175.06332,1.011927,14457.238669,0.950413,115,0.096154,5,0.903846,47,0.049587,6,0.958333,0.950413,0.954357,0.969644,0.919075,0.078005,0.921995,0.080925,0.920279,0.919075,0.918245,0.972895,0.002,0.001,0.002063,0.000125,44119,134785,17315,?
car,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1555,173,164,9,0,94.797688,5.202312,0,0.883658,0.033331,0.147826,14.525697,43.624537,210.310948,4311.596675,-4101.285727,1.21567,24.922524,-23.706854,180.307649,1.042241,14910.407384,0.991736,120,0.096154,5,0.903846,47,0.008264,1,0.96,0.991736,0.97561,0.993404,0.947977,0.072377,0.927623,0.052023,0.946452,0.947977,0.946523,0.982479,0.003,0,0.002142,0.000118,43237,134785,17315,?
car,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1555,173,165,8,0,95.375723,4.624277,0,0.901037,0.027797,0.133392,12.113736,39.36508,210.310948,3236.116548,-3025.8056,1.21567,18.705876,-17.490206,189.84124,1.097348,15698.780684,0.966942,117,0,0,1,52,0.033058,4,1,0.966942,0.983193,0.982676,0.953757,0.011633,0.988367,0.046243,0.959088,0.953757,0.953639,0.983972,0.002,0,0.001432,0.000112,44112,134785,17315,?
car,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1555,173,156,17,0,90.17341,9.82659,0,0.787485,0.05206,0.195917,22.687502,57.816522,210.310948,6474.620548,-6264.3096,1.21567,37.425552,-36.209882,165.881137,0.958851,13717.417651,0.966942,117,0.076923,4,0.923077,48,0.033058,4,0.966942,0.966942,0.966942,0.989113,0.901734,0.06527,0.93473,0.098266,0.905505,0.901734,0.902746,0.972833,0.002,0,0.00155,0.000125,42796,134785,17315,?
car,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1555,173,156,17,0,90.17341,9.82659,0,0.785719,0.050488,0.195229,22.002398,57.613525,210.310948,6473.329177,-6263.018229,1.21567,37.418088,-36.202418,166.809735,0.964218,13794.207383,0.958678,116,0.115385,6,0.884615,46,0.041322,5,0.95082,0.958678,0.954733,0.980054,0.901734,0.091684,0.908316,0.098266,0.902899,0.901734,0.901528,0.970891,0.001,0,0.001483,0.000146,41480,134785,17315,?
car,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20150918.0012,1556,172,158,14,0,91.860465,8.139535,0,0.825444,0.042475,0.182753,18.61504,54.276183,205.704619,7536.359327,-7330.654707,1.195957,43.816043,-42.620086,166.442269,0.967688,13738.993148,0.950413,115,0.019608,1,0.980392,50,0.049587,6,0.991379,0.950413,0.970464,0.982985,0.918605,0.029546,0.970454,0.081395,0.916445,0.918605,0.914672,0.970957,0.002,0,0.001876,0.000112,44112,134870,17230,?
