@relation InstanceResultListener

@attribute Key_Dataset {cmc_labels}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 20 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 30 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 40 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 50 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 60 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 70 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 80 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 90 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 100 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

cmc_labels,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1325,148,67,81,0,45.27027,54.72973,0,0.168597,0.366538,0.599758,85.012693,129.116989,228.17232,829.928688,-601.756368,1.541705,5.607626,-4.065921,50.467488,0.340997,3279.344272,0.460317,29,0.247059,21,0.752941,64,0.539683,34,0.58,0.460317,0.513274,0.603735,0.452703,0.281422,0.718578,0.547297,0.469583,0.452703,0.457001,0.588124,0.003,0.011,0.000906,0.010175,151548,146575,18282,?
cmc_labels,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1325,148,63,85,0,42.567568,57.432432,0,0.096913,0.383445,0.60496,88.933852,130.236813,228.17232,849.356198,-621.183878,1.541705,5.738893,-4.197188,40.621938,0.274473,2639.586901,0.571429,36,0.494118,42,0.505882,43,0.428571,27,0.461538,0.571429,0.510638,0.573016,0.425676,0.332345,0.667655,0.574324,0.419495,0.425676,0.417906,0.569139,0.003,0.009,0.000803,0.009472,151532,146575,18282,?
cmc_labels,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1325,148,62,86,0,41.891892,58.108108,0,0.089622,0.389761,0.614373,90.500053,132.429731,227.556994,885.371454,-657.814461,1.537547,5.98224,-4.444692,36.631551,0.24751,2379.577102,0.555556,35,0.4,34,0.6,51,0.444444,28,0.507246,0.555556,0.530303,0.590289,0.418919,0.327886,0.672114,0.581081,0.411599,0.418919,0.414335,0.541525,0.002,0.013,0.000846,0.012213,151532,146575,18282,?
cmc_labels,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,69,78,0,46.938776,53.061224,0,0.177711,0.352424,0.577839,81.836482,124.564808,226.027303,774.339879,-548.312576,1.537601,5.267618,-3.730018,55.063682,0.374583,3576.94314,0.571429,36,0.380952,32,0.619048,52,0.428571,27,0.529412,0.571429,0.549618,0.625283,0.469388,0.288388,0.711612,0.530612,0.472988,0.469388,0.469524,0.602155,0.003,0.013,0.001135,0.012208,151657,146684,18173,?
cmc_labels,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,68,79,0,46.258503,53.741497,0,0.174979,0.366752,0.595498,85.163464,128.371489,226.027303,810.674816,-584.647513,1.537601,5.514795,-3.977194,49.682948,0.337979,3227.410035,0.47619,30,0.285714,24,0.714286,60,0.52381,33,0.555556,0.47619,0.512821,0.60771,0.462585,0.285032,0.714968,0.537415,0.470215,0.462585,0.464202,0.596093,0.002,0.011,0.000752,0.010176,151649,146684,18173,?
cmc_labels,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,56,91,0,38.095238,61.904762,0,0.049659,0.41805,0.63869,97.075429,137.682447,226.027303,937.916047,-711.888744,1.537601,6.380381,-4.842781,23.745068,0.161531,1542.482346,0.428571,27,0.357143,30,0.642857,54,0.571429,36,0.473684,0.428571,0.45,0.558957,0.380952,0.329104,0.670896,0.619048,0.387626,0.380952,0.383587,0.521692,0.002,0.011,0.000756,0.01093,151641,146684,18173,?
cmc_labels,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,57,90,0,38.77551,61.22449,0,0.057692,0.417284,0.636508,96.897471,137.212096,226.027303,924.790466,-698.763164,1.537601,6.291092,-4.753491,25.961545,0.176609,1686.464986,0.444444,28,0.380952,32,0.619048,52,0.555556,35,0.466667,0.444444,0.455285,0.533069,0.387755,0.335045,0.664955,0.612245,0.389909,0.387755,0.388556,0.531319,0.002,0.011,0.000803,0.010031,151649,146684,18173,?
cmc_labels,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,66,81,0,44.897959,55.102041,0,0.144612,0.362986,0.591267,84.289109,127.459355,226.027303,801.714995,-575.687692,1.537601,5.453844,-3.916243,51.112325,0.347703,3320.262538,0.571429,36,0.440476,37,0.559524,47,0.428571,27,0.493151,0.571429,0.529412,0.606198,0.44898,0.306671,0.693329,0.55102,0.451982,0.44898,0.444684,0.588961,0.002,0.01,0.000706,0.009604,151649,146684,18173,?
cmc_labels,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.attribute.AddClassification -W \\\"weka.classifiers.rules.ZeroR \\\"\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20150919.0342,1326,147,66,81,0,44.897959,55.102041,0,0.150471,0.3645,0.593602,84.640671,127.962724,226.027303,811.675358,-585.648055,1.537601,5.521601,-3.984,51.680175,0.351566,3357.150107,0.492063,31,0.369048,31,0.630952,53,0.507937,32,0.5,0.492063,0.496,0.586546,0.44898,0.302676,0.697324,0.55102,0.450275,0.44898,0.449383,0.583242,0.002,0.011,0.000809,0.010834,151641,146684,18173,?
