@relation InstanceResultListener

@attribute Key_Dataset {carintstring}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 20.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 30.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 40.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 50.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 60.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 70.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 80.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

carintstring,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,165,8,0,95.375723,4.624277,0,0.899688,0.255299,0.318933,111.487562,94.338203,207.771695,180.264663,27.507033,1.200992,1.041992,0.159,-0.616845,-0.003566,-50.940829,0.966942,117,0.057692,3,0.942308,49,0.033058,4,0.975,0.966942,0.970954,0.956055,0.953757,0.047288,0.952712,0.046243,0.954438,0.953757,0.953896,0.954149,0.219,0.001,0.143574,0.001004,15556,134807,17337,?
carintstring,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,164,9,0,94.797688,5.202312,0,0.885397,0.254335,0.317924,111.066854,94.0399,207.771695,178.264663,29.507033,1.200992,1.030432,0.170561,-0.312838,-0.001808,-25.835113,0.983471,119,0.038462,2,0.961538,50,0.016529,2,0.983471,0.983471,0.983471,0.97616,0.947977,0.037239,0.962761,0.052023,0.946119,0.947977,0.944999,0.970109,0.274,0.006,0.164375,0.001032,15556,134807,17337,?
carintstring,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,164,9,0,94.797688,5.202312,0,0.886764,0.254335,0.317672,111.066854,93.965176,207.771695,178.264663,29.507033,1.200992,1.030432,0.170561,0.027012,0.000156,2.23069,0.966942,117,0.038462,2,0.961538,50,0.033058,4,0.983193,0.966942,0.975,0.972187,0.947977,0.038677,0.961323,0.052023,0.952381,0.947977,0.947035,0.969833,0.443,0,0.198366,0.000655,15556,134807,17337,?
carintstring,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,158,15,0,91.32948,8.67052,0,0.810791,0.257707,0.323432,112.539332,95.669059,207.771695,182.774438,24.997258,1.200992,1.0565,0.144493,-3.464842,-0.020028,-286.136705,0.950413,115,0.115385,6,0.884615,46,0.049587,6,0.950413,0.950413,0.950413,0.923633,0.913295,0.091492,0.908508,0.086705,0.913208,0.913295,0.913029,0.923575,0.209,0,0.174304,0.000654,15556,134807,17337,?
carintstring,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,164,9,0,94.797688,5.202312,0,0.887411,0.254817,0.318429,111.04796,93.970814,210.310948,179.264663,31.046285,1.21567,1.036212,0.179458,2.244336,0.012973,185.593713,0.966942,117,0.057692,3,0.942308,49,0.033058,4,0.975,0.966942,0.970954,0.959313,0.947977,0.047347,0.952653,0.052023,0.950994,0.947977,0.947915,0.960964,0.18,0.001,0.170926,0.000756,15556,134807,17337,?
carintstring,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,162,11,0,93.641618,6.358382,0,0.86669,0.255299,0.319436,111.25788,94.267955,210.310948,179.434588,30.87636,1.21567,1.037194,0.178476,2.076039,0.012,171.676526,0.933884,113,0.038462,2,0.961538,50,0.066116,8,0.982609,0.933884,0.957627,0.964876,0.936416,0.040161,0.959839,0.063584,0.941913,0.936416,0.937837,0.961482,0.137,0.001,0.136099,0.00085,15556,134807,17337,?
carintstring,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,163,10,0,94.219653,5.780347,0,0.878451,0.25578,0.320063,111.467801,94.453194,210.310948,180.434588,29.87636,1.21567,1.042974,0.172696,0.713492,0.004124,59.001655,0.966942,117,0,0,1,52,0.033058,4,1,0.966942,0.983193,0.994596,0.942197,0.007971,0.992029,0.057803,0.951077,0.942197,0.944928,0.974955,0.174,0,0.160373,0.000303,15556,134807,17337,?
carintstring,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,156,17,0,90.17341,9.82659,0,0.788918,0.260116,0.327134,113.357086,96.539798,210.310948,186.114288,24.19666,1.21567,1.075805,0.139865,-3.247517,-0.018772,-268.551008,0.933884,113,0.096154,5,0.903846,47,0.066116,8,0.957627,0.933884,0.945607,0.92856,0.901734,0.085394,0.914606,0.098266,0.906081,0.901734,0.902369,0.920237,0.151,0,0.147135,0.000369,15556,134807,17337,?
carintstring,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1556,172,161,11,0,93.604651,6.395349,0,0.855363,0.255814,0.320741,112.113813,95.257575,205.704619,179.434588,26.270032,1.195957,1.043224,0.152733,-2.553904,-0.014848,-210.812233,0.975207,118,0.137255,7,0.862745,44,0.024793,3,0.944,0.975207,0.95935,0.922217,0.936047,0.10175,0.89825,0.063953,0.936024,0.936047,0.934834,0.925781,0.123,0,0.122591,0.000288,15556,134892,17252,?
