@relation cmc_labels_discretized-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement

@attribute wife_age numeric
@attribute wife_ed {medium-low,low,medium-high,high}
@attribute husband_ed {medium-high,medium-low,high,low}
@attribute num_child numeric
@attribute wife_religion {Islam,Non-Islam}
@attribute employment {no,yes}
@attribute husband_occ {two,three,one,four}
@attribute sol_index {medium-high,high,medium-low,low}
@attribute media_expo {good,not-good}
@attribute ClassValues {No-use,Long-term,Short-term}

@data
24,medium-low,medium-high,3,Islam,no,two,medium-high,good,No-use
45,low,medium-high,10,Islam,no,three,high,good,No-use
43,medium-low,medium-high,7,Islam,no,three,high,good,No-use
42,medium-high,medium-low,9,Islam,no,three,medium-high,good,No-use
36,medium-high,medium-high,8,Islam,no,three,medium-low,good,No-use
19,high,high,0,Islam,no,three,medium-high,good,No-use
27,medium-low,medium-high,3,Islam,no,three,high,good,No-use
45,low,low,8,Islam,no,two,medium-low,not-good,No-use
38,low,medium-high,2,Islam,yes,three,medium-high,not-good,No-use
42,low,high,4,Islam,no,one,medium-high,good,No-use
44,high,high,1,Islam,yes,one,high,good,No-use
38,medium-high,high,2,Islam,no,two,medium-high,good,No-use
26,medium-low,high,0,Islam,no,four,low,good,No-use
48,low,low,7,Islam,no,two,high,good,No-use
39,medium-low,medium-low,6,Islam,no,two,high,good,No-use
37,medium-low,medium-low,8,Islam,no,two,medium-high,good,No-use
39,medium-low,low,5,Islam,no,two,low,not-good,No-use
26,medium-high,high,1,Islam,yes,four,low,good,No-use
24,medium-high,high,0,Islam,yes,three,low,good,No-use
46,high,high,1,Non-Islam,no,one,high,good,No-use
40,medium-low,high,8,Islam,no,three,medium-high,good,No-use
38,high,high,1,Islam,yes,one,high,good,No-use
29,high,high,0,Islam,yes,one,high,good,No-use
43,low,medium-low,8,Islam,no,two,high,good,No-use
31,high,high,2,Islam,no,three,medium-low,good,No-use
26,medium-low,high,0,Islam,yes,one,medium-low,good,No-use
33,medium-low,medium-low,2,Islam,no,three,low,good,No-use
24,medium-low,medium-high,1,Islam,no,three,medium-high,good,No-use
43,low,medium-low,8,Islam,yes,three,low,good,No-use
25,medium-high,medium-high,4,Islam,no,three,medium-low,good,No-use
42,medium-low,medium-low,3,Islam,no,three,high,good,No-use
28,medium-low,medium-low,1,Islam,no,two,high,good,No-use
28,low,low,3,Islam,no,three,low,good,No-use
47,medium-low,medium-high,0,Islam,yes,one,medium-high,good,No-use
48,medium-low,high,2,Islam,no,one,medium-high,good,No-use
40,high,high,2,Non-Islam,no,one,high,good,No-use
28,medium-low,medium-low,1,Islam,no,three,medium-low,good,No-use
25,low,high,1,Islam,no,two,low,good,No-use
32,high,high,2,Islam,no,two,medium-high,good,No-use
45,high,high,0,Islam,no,two,high,good,No-use
26,high,high,1,Islam,no,one,high,good,No-use
31,high,high,0,Islam,yes,one,high,good,No-use
40,medium-high,high,8,Islam,no,three,medium-high,good,No-use
36,medium-low,high,5,Islam,no,two,medium-high,good,No-use
20,medium-low,medium-low,2,Islam,no,two,medium-low,not-good,No-use
37,medium-high,high,7,Islam,no,two,low,good,No-use
21,medium-low,medium-high,0,Islam,no,three,high,good,No-use
49,high,high,6,Islam,no,one,medium-low,good,No-use
47,low,medium-low,2,Islam,yes,one,medium-high,good,No-use
22,medium-low,medium-high,1,Islam,no,two,low,good,No-use
27,medium-low,high,1,Islam,yes,one,medium-high,good,No-use
24,medium-low,high,1,Islam,no,three,low,good,No-use
30,medium-low,medium-high,3,Islam,no,three,low,good,No-use
25,high,high,1,Islam,yes,three,medium-high,good,No-use
47,medium-low,medium-high,4,Islam,no,two,medium-high,good,No-use
48,medium-low,medium-high,8,Islam,no,one,high,good,No-use
29,medium-low,medium-high,1,Islam,no,one,low,good,No-use
29,medium-low,medium-high,1,Islam,no,one,medium-low,good,No-use
21,medium-high,high,1,Islam,no,two,medium-high,good,No-use
45,medium-high,high,3,Islam,no,one,high,good,No-use
33,medium-low,medium-high,2,Islam,no,three,medium-low,good,No-use
38,high,high,1,Islam,yes,one,high,good,No-use
49,high,high,6,Non-Islam,yes,one,high,good,No-use
24,medium-low,high,1,Islam,yes,four,high,good,No-use
28,high,high,0,Non-Islam,yes,one,high,good,No-use
30,high,high,2,Islam,no,one,high,good,No-use
33,high,high,2,Islam,no,one,high,good,No-use
35,high,high,3,Non-Islam,no,one,high,good,No-use
27,medium-low,high,4,Islam,no,one,high,good,No-use
25,medium-low,medium-high,0,Islam,no,two,low,good,No-use
26,medium-low,medium-low,3,Islam,no,two,low,good,No-use
38,medium-low,medium-low,1,Islam,yes,three,medium-low,good,No-use
41,low,medium-high,10,Islam,no,two,medium-high,not-good,No-use
41,medium-low,medium-high,1,Islam,yes,two,medium-high,good,No-use
28,high,high,5,Islam,no,two,low,good,No-use
17,medium-low,medium-low,3,Islam,no,three,low,good,No-use
27,low,medium-low,4,Islam,no,three,low,not-good,No-use
19,medium-low,medium-high,0,Islam,yes,two,medium-low,good,No-use
27,medium-low,high,3,Islam,yes,three,medium-low,good,No-use
26,high,medium-high,4,Islam,no,two,medium-high,good,No-use
23,medium-low,high,2,Islam,no,three,medium-high,good,No-use
40,medium-high,medium-high,3,Islam,no,three,medium-low,good,No-use
22,high,high,0,Islam,no,one,low,good,No-use
26,medium-low,medium-high,3,Islam,no,three,low,good,No-use
45,high,high,1,Islam,yes,three,medium-high,good,No-use
32,medium-high,medium-high,7,Islam,yes,two,medium-high,good,No-use
21,high,high,1,Islam,no,one,high,good,No-use
21,medium-high,high,0,Islam,no,one,medium-high,good,No-use
37,high,high,1,Islam,no,one,high,good,No-use
34,high,high,3,Non-Islam,yes,three,medium-high,good,No-use
44,medium-high,high,1,Islam,no,one,medium-high,good,No-use
49,high,medium-high,5,Islam,no,two,medium-high,good,No-use
26,medium-low,medium-high,2,Islam,no,three,medium-high,good,No-use
38,low,medium-low,1,Islam,no,two,high,not-good,No-use
36,medium-low,medium-high,5,Islam,no,two,medium-high,good,No-use
20,medium-low,medium-high,1,Non-Islam,no,three,medium-low,good,No-use
44,medium-low,low,3,Islam,yes,three,medium-low,good,No-use
31,medium-high,high,2,Islam,no,one,medium-low,not-good,No-use
45,high,high,1,Islam,no,one,medium-high,good,No-use
36,medium-low,medium-high,2,Islam,no,three,medium-low,not-good,No-use
43,low,medium-high,2,Islam,yes,two,medium-low,not-good,No-use
25,medium-high,high,0,Islam,no,one,medium-high,good,No-use
48,medium-high,high,3,Islam,no,three,low,good,No-use
30,high,high,0,Non-Islam,yes,one,medium-high,good,No-use
48,low,medium-low,8,Islam,no,three,low,good,No-use
