Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,ClassValues
0.014839,0.013799,0.031493,0.051737,-0.026297,0.025417,0
0.026101,-0.004257,0.015856,0.042834,-0.019413,0.034026,0
0.016756,0.015058,0.010115,0.040317,-0.034347,0.061287,0
0.037364,-0.022313,0.00022,0.03393,-0.012528,0.042635,0
0.04227,-0.011012,-0.003746,0.028092,0.014161,0.032892,0
0.024652,0.036401,0.023561,0.040059,0.02708,0.005931,0
0.047177,0.000289,-0.007712,0.022253,0.040849,0.023148,0
0.037831,0.019605,-0.013453,0.019736,0.025915,0.050409,0
-0.022838,0.044974,0.017852,0.044865,-0.049746,0.079253,0
0.00076,0.017644,0.025368,0.04406,0.00681,0.014987,0
-0.017932,0.056275,0.013886,0.039027,-0.023058,0.06951,0
-0.032479,0.018203,0.021435,0.045544,-0.028394,0.051306,0
-0.000608,-0.037225,-0.004097,0.030254,0.000309,0.041262,0
-0.018227,0.010188,0.02321,0.042222,0.013229,0.014301,0
0.004298,-0.025923,-0.008063,0.024416,0.026998,0.031518,0
-0.022666,0.040805,0.013503,0.033867,0.024984,0.031819,0
-0.002058,0.003434,0.003607,0.02748,0.046802,0.013166,0
-0.020749,0.042065,-0.007875,0.022447,0.016934,0.067689,0
-0.000141,0.004693,-0.01777,0.01606,0.038753,0.049036,0
-0.040202,-0.007309,0.00364,0.034803,-0.01509,0.059228,0
-0.049548,0.012007,-0.002102,0.032286,-0.030024,0.086489,0
-0.055904,0.041364,0.009569,0.035351,-0.01022,0.068137,0
-0.024033,-0.014064,-0.015963,0.020061,0.018483,0.058093,0
-0.030389,0.015293,-0.004292,0.023126,0.038287,0.039741,0
-0.009781,-0.022078,-0.014187,0.016739,0.060106,0.021088,0
0.036679,-0.021121,-0.013495,0.030692,-0.018884,0.026609,0
0.041586,-0.00982,-0.017461,0.024853,0.007805,0.016865,0
0.046492,0.001481,-0.021427,0.019015,0.034494,0.007122,0
-0.004832,0.007535,0.01562,0.04666,-0.026234,0.008705,0
-0.023523,0.046166,0.004137,0.041627,-0.056102,0.063227,0
0.008347,-0.009261,-0.021394,0.026337,-0.027399,0.053183,0
-0.000998,0.010054,-0.027136,0.02382,-0.042333,0.080445,0
0.001992,0.020096,-0.009724,0.029402,-0.007595,0.034831,0
-0.007354,0.039412,-0.015465,0.026885,-0.022529,0.062093,0
0.003908,0.021356,-0.031102,0.017982,-0.015644,0.070701,0
0.006898,0.031397,-0.01369,0.023563,0.019094,0.025088,0
0.01816,0.013341,-0.029326,0.01466,0.025978,0.033697,0
-0.012555,-0.017977,-0.002175,0.035919,-0.012931,0.016627,0
-0.019984,0.002599,-0.029294,0.021982,-0.035914,0.079758,0
-0.021434,0.043257,-0.02159,0.019208,0.010579,0.051662,0
-0.042804,-0.007377,0.011303,0.042985,-0.013397,0.007332,0
-0.037897,0.003924,0.007337,0.037146,0.013292,-0.002412,0
-0.026635,-0.014131,-0.008299,0.028243,0.020176,0.006197,0
-0.032991,0.015226,0.003371,0.031307,0.039981,-0.012155,0
-0.042336,0.034541,-0.00237,0.02879,0.025047,0.015106,0
0.004124,0.035498,-0.001678,0.042743,-0.053943,0.020626,0
0.024732,-0.001873,-0.011573,0.036357,-0.032125,0.001974,0
-0.000315,0.066115,-0.011385,0.034388,-0.042188,0.038144,1
0.02221,0.030004,-0.042658,0.016581,-0.028419,0.055362,1
0.023283,0.038785,-0.003868,0.033583,0.014368,-0.026122,0
0.025199,0.040045,-0.025246,0.022163,0.006319,0.009748,0
0.045807,0.002674,-0.035141,0.015776,0.028138,-0.008904,0
0.027116,0.041305,-0.046624,0.010743,-0.00173,0.045618,1
-0.014862,0.028042,-0.003836,0.040905,-0.047524,0.01994,0
-0.024208,0.047358,-0.009577,0.038389,-0.062458,0.047201,0
0.005746,-0.009329,-0.013731,0.034519,-0.025706,0.001287,0
0.010652,0.001972,-0.017697,0.02868,0.000983,-0.008456,0
0.001307,0.021288,-0.023439,0.026163,-0.013951,0.018805,0
-0.014395,0.069961,-0.017509,0.026711,-0.009081,0.027714,1
0.026821,-0.004782,-0.0373,0.013938,0.034556,-0.009591,0
-0.024503,0.001271,-0.000253,0.041584,-0.026172,-0.008008,0
-0.033848,0.020587,-0.005994,0.039067,-0.041106,0.019253,0
-0.043194,0.039902,-0.011736,0.036551,-0.056039,0.046515,0
-0.047928,0.024432,-0.012119,0.031391,-0.007998,0.008823,0
-0.046011,0.025692,-0.033497,0.019971,-0.016047,0.044693,1
-0.043021,0.035733,-0.016085,0.025552,0.018691,-0.00092,0
-0.011151,-0.019694,-0.041616,0.010262,0.047394,-0.010964,0
-0.029842,0.018937,-0.053099,0.005229,0.017526,0.043559,1
-0.001,0.067307,-0.025099,0.031149,-0.048544,0.022118,1
0.03386,0.021921,-0.033219,0.021441,0.014897,-0.033539,0
0.015169,0.060553,-0.044702,0.016407,-0.014971,0.020983,1
0.045123,0.003866,-0.048856,0.012538,0.021782,-0.02493,0
0.035777,0.023181,-0.054597,0.010021,0.006848,0.002331,1
-0.01363,0.030494,-0.038928,0.026247,-0.06193,0.039784,0
0.016324,-0.026193,-0.043082,0.022377,-0.025177,-0.00613,0
0.006978,-0.006877,-0.048823,0.01986,-0.040111,0.021131,0
-0.019986,0.059851,-0.027258,0.029311,-0.042125,0.021432,1
0.000622,0.02248,-0.037153,0.022925,-0.020307,0.002779,0
0.02123,-0.014891,-0.047048,0.016539,0.001512,-0.015873,0
0.005529,0.033781,-0.041119,0.017086,0.006382,-0.006964,1
0.007445,0.035041,-0.062497,0.005666,-0.001667,0.028906,1
-0.012008,-0.014333,-0.050982,0.018022,-0.033692,0.020445,0
-0.020281,0.013764,-0.017934,0.032507,-0.005839,-0.033777,0
-0.029626,0.03308,-0.023675,0.02999,-0.020773,-0.006516,0
0.002244,-0.022347,-0.049207,0.014701,0.007931,-0.01656,0
-0.015374,0.025066,-0.0219,0.026668,0.02085,-0.043521,0
-0.002195,0.00827,-0.058914,0.006345,0.019685,0.000958,1
-0.044173,-0.004993,-0.016126,0.036508,-0.026109,-0.024721,0
-0.030994,-0.021789,-0.05314,0.016185,-0.027273,0.019758,0
-0.035433,0.008828,-0.062848,0.007829,-0.015519,0.037276,1
-0.023098,-0.000446,-0.039695,0.015927,0.034153,-0.035599,0
0.008994,0.030599,0.013908,0.018909,-0.050063,0.081532,0
0.038948,-0.026088,0.009754,0.01504,-0.013311,0.035618,0
0.011984,0.04064,0.03132,0.024491,-0.015325,0.035918,0
0.034509,0.004528,0.000047,0.006684,-0.001556,0.053136,0
0.028153,0.033886,0.011717,0.009749,0.018248,0.034784,0
0.006177,0.016388,-0.007853,0.002329,-0.010071,0.079711,0
-0.002096,0.044486,0.025195,0.016814,0.017782,0.025488,0
0.020429,0.008374,-0.006078,-0.000992,0.031552,0.042706,0
-0.030895,0.014427,0.030969,0.026653,-0.029176,0.044289,0
-0.010287,-0.022944,0.021074,0.020267,-0.007358,0.025636,0
-0.019632,-0.003629,0.015332,0.01775,-0.022292,0.052897,0
-0.00837,-0.021684,-0.000304,0.008847,-0.015407,0.061506,0
-0.025988,0.025728,0.027003,0.020815,-0.002488,0.034545,0
-0.030427,0.056345,0.017296,0.012459,0.009267,0.052063,0
0.010789,-0.018398,-0.002495,-0.000314,0.052904,0.014758,0
-0.049881,0.006971,0.02881,0.024815,-0.022757,0.043602,0
-0.047964,0.008231,0.007433,0.013395,-0.030807,0.079472,0
-0.036702,-0.009825,-0.008204,0.004492,-0.023922,0.088081,0
-0.044974,0.018273,0.024844,0.018977,0.003931,0.033859,0
-0.05432,0.037588,0.019103,0.01646,-0.011003,0.06112,0
-0.031795,0.001477,-0.01217,-0.001347,0.002767,0.078337,0
-0.030722,0.010258,0.02662,0.015655,0.045554,-0.003146,0
-0.017543,-0.006538,-0.010394,-0.004668,0.044389,0.041333,0
-0.002953,0.049847,0.01583,0.024574,-0.063304,0.056897,0
0.022562,0.023776,0.001969,0.012349,-0.014796,0.028501,0
-0.012593,0.023075,0.019413,0.025253,-0.041951,0.028949,0
0.012921,-0.002995,0.005552,0.013028,0.006556,0.000553,0
-0.020317,-0.002437,0.001618,0.014512,-0.028648,0.036871,0
0.000291,-0.039808,-0.008277,0.008125,-0.006829,0.018219,0
-0.017327,0.007605,0.01903,0.020093,0.006091,-0.008742,0
-0.013494,0.010125,-0.023726,-0.002747,-0.010008,0.062998,1
-0.059911,0.027479,0.009355,0.01906,-0.044047,0.054837,0
-0.020144,-0.006606,-0.002731,0.003513,0.046083,-0.010563,0
-0.018228,-0.005346,-0.024109,-0.007907,0.038033,0.025307,1
