Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,ClassValues
-0.006262,-0.004908,-0.014418,-0.035238,0.005725,-0.018856,0.01018,0.035768,-0.003174,No-use
0.015798,-0.088515,0.02119,-0.03018,-0.001993,-0.018988,0.008563,0.007307,-0.027396,No-use
0.00754,-0.05162,0.01647,-0.018585,-0.02174,-0.004852,0.018639,-0.002921,-0.031778,No-use
-0.007283,-0.053931,-0.007647,-0.007079,-0.01443,0.062519,0.031204,0.014363,-0.036693,No-use
-0.020216,-0.042875,0.002956,0.007528,0.027246,0.035502,0.02532,0.018909,-0.039173,No-use
-0.053417,0.027609,0.010225,-0.012067,-0.003899,-0.000908,0.018396,0.009922,-0.035013,No-use
0.010782,-0.023987,0.011445,0.003509,0.023473,0.003536,0.023417,0.010441,-0.034876,No-use
-0.02268,0.026367,-0.024345,-0.030851,0.035878,0.019765,-0.002356,-0.017321,-0.029712,No-use
-0.010278,-0.013415,0.011019,-0.04827,-0.022659,-0.016043,0.008595,0.014982,-0.022692,No-use
0.069569,-0.027468,-0.023795,-0.000851,-0.003698,0.041013,0.00933,0.03234,0.003032,No-use
0.051893,0.010251,0.005415,-0.021364,0.010675,-0.029505,-0.02731,-0.046112,-0.01572,No-use
0.043944,-0.019533,-0.007415,0.006426,0.018539,-0.082182,0.015025,0.009412,0.009866,No-use
0.004373,0.015349,-0.044938,0.018643,-0.018808,-0.019067,0.016,-0.059543,-0.003788,No-use
0.028058,0.014392,0.008848,-0.000705,0.015605,-0.044315,0.002538,-0.068201,-0.036206,No-use
0.003442,0.009162,0.002412,0.019694,-0.005006,-0.03076,0.028106,-0.007294,-0.019603,No-use
0.00129,0.039975,0.044924,0.008428,0.045474,-0.031273,0.018957,-0.002594,-0.054779,No-use
0.059889,-0.039506,-0.026426,-0.036315,-0.051607,0.021052,0.028034,0.016044,-0.00254,No-use
0.017831,-0.034666,-0.021766,-0.032768,-0.03661,0.013565,0.022123,0.020217,-0.005809,No-use
0.009207,-0.048541,-0.025899,-0.024392,-0.002803,0.026578,0.020943,0.035218,-0.007602,No-use
0.057282,0.017063,-0.032198,0.017682,0.003191,0.061414,0.019423,0.033744,-0.002032,No-use
-0.021199,0.030213,0.013607,0.002956,0.067088,0.003087,0.000994,-0.042835,-0.05924,No-use
-0.015358,0.041036,-0.00898,0.003863,0.067487,-0.00898,0.001088,-0.031259,-0.037341,No-use
0.010824,0.018266,0.013835,0.015209,-0.019804,-0.008767,0.067338,-0.025328,0.046164,No-use
-0.006339,0.016177,-0.022943,0.022946,-0.037997,-0.024451,0.03439,-0.008412,-0.001925,No-use
-0.004275,-0.024838,-0.021196,0.036992,-0.029248,-0.011915,0.037179,-0.011939,-0.007007,No-use
-0.007737,-0.061672,0.027154,-0.000306,0.025988,-0.025313,0.012595,0.002942,-0.035941,No-use
-0.00913,0.012941,-0.048113,0.005238,-0.012096,-0.017914,0.009782,-0.047221,-0.000356,No-use
-0.024837,0.020485,-0.052121,-0.013354,-0.006733,-0.019752,0.002089,-0.032477,0.004777,No-use
-0.031937,0.036492,-0.035618,0.003365,0.040318,0.001087,0.004701,-0.026584,-0.019075,No-use
0.035138,-0.059603,-0.015234,-0.038379,-0.023804,-0.004521,0.015754,0.022598,-0.002588,No-use
-0.01149,-0.002419,-0.022007,-0.007959,-0.016472,-0.043798,0.01722,0.014874,0.008144,No-use
-0.030533,0.019353,0.013501,0.027587,0.014248,0.009416,0.031727,-0.003828,-0.044815,No-use
0.013159,0.029307,-0.044996,-0.011341,0.056692,-0.057082,-0.007184,-0.013249,0.011504,No-use
0.031644,0.034807,-0.004344,0.003653,0.014905,0.025828,0.0344,0.016623,-0.032127,No-use
-0.00296,0.016936,0.009372,-0.036067,-0.00655,-0.017102,0.012918,0.017082,-0.023979,No-use
0.034574,-0.054165,0.025329,0.008315,0.036509,-0.006158,-0.006872,0.016125,-0.021858,No-use
0.043723,-0.035182,-0.022292,-0.010088,0.064599,0.027199,0.00414,-0.019225,-0.031274,No-use
-0.02678,-0.002663,0.00015,-0.010987,0.020734,0.02335,0.020458,0.026543,-0.032947,No-use
0.032431,-0.000462,0.004365,-0.02538,-0.056944,0.011176,0.029604,-0.008369,-0.028348,No-use
0.015813,0.016702,-0.023818,-0.049767,-0.047826,-0.002153,0.018895,0.024113,0.0004,No-use
0.042194,0.024348,-0.016412,-0.031172,0.015568,0.036004,0.025802,0.041202,-0.020848,No-use
0.064398,0.035427,-0.046909,0.00908,-0.006467,-0.036512,0.015881,-0.052338,0.005385,No-use
0.049142,0.009416,-0.008655,0.034379,-0.005453,-0.066016,0.031757,-0.013505,0.000923,No-use
-0.007227,0.004702,0.009906,0.000289,-0.008389,-0.004049,0.059485,-0.009267,0.049614,No-use
0.019965,0.034715,-0.004669,-0.021877,-0.006368,0.017726,0.02669,0.019737,-0.026313,No-use
0.023481,0.025127,0.005,0.000882,0.064901,-0.069736,0.010104,0.028732,-0.007171,No-use
-0.027461,0.010983,-0.006686,0.017807,-0.006167,-0.005158,0.029132,0.001911,-0.021645,No-use
0.005918,0.029272,0.003268,0.034006,-0.052279,-0.020284,0.041712,-0.035681,-0.026147,No-use
-0.035596,0.010959,-0.029822,-0.006098,-0.023456,-0.021954,0.020917,0.018286,0.005513,No-use
-0.031588,0.019281,-0.053709,-0.020056,-0.003377,-0.019176,-0.001021,-0.026316,0.006493,No-use
-0.020336,0.021288,-0.051063,-0.008886,-0.00897,-0.020136,0.004161,-0.036584,0.003633,No-use
-0.015506,-0.047938,0.033182,0.00896,0.002199,0.020939,0.060108,-0.020263,0.023777,No-use
-0.025137,-0.057444,0.02123,0.011211,0.018116,-0.000863,0.019839,-0.000176,-0.041417,No-use
-0.017544,0.019388,0.00356,-0.01506,0.037697,0.014265,0.03496,-0.049338,0.030285,No-use
0.002699,-0.029339,0.005016,-0.000837,0.019216,-0.044128,0.013885,0.011148,-0.012932,No-use
0.014241,0.026733,-0.023833,-0.025474,0.005676,0.018768,-0.004991,0.050677,0.008832,No-use
-0.016068,-0.029679,-0.048482,0.010348,0.001127,-0.00461,0.008425,-0.042534,-0.003149,No-use
