-0.522wife_ed-0.496husband_ed-0.399sol_index+0.359husband_occ+0.326media_expo+0.234wife_religion+0.168num_child+0.066employment-0.002wife_age,-0.687wife_age-0.61num_child+0.254husband_occ-0.216sol_index-0.153media_expo+0.124wife_religion+0.059husband_ed+0.048wife_ed-0.01employment,-0.806employment-0.466wife_religion+0.205media_expo-0.191num_child+0.158husband_occ-0.136husband_ed+0.077wife_age+0.057sol_index-0.05wife_ed,-0.779wife_religion+0.546employment+0.248husband_occ+0.151media_expo-0.073num_child-0.071sol_index+0.022husband_ed-0.004wife_ed-0.001wife_age,'0.76 media_expo-0.513husband_occ-0.256sol_index-0.198num_child+0.161husband_ed+0.135wife_ed-0.069wife_age+0.061wife_religion+0.045employment',0.835sol_index+0.336media_expo-0.237wife_ed-0.234num_child+0.158wife_religion+0.156employment+0.122husband_occ-0.095husband_ed-0.082wife_age,'0.627husband_occ+0.553husband_ed+0.316media_expo+0.281num_child+0.281wife_ed+0.191wife_religion-0.084employment+0.02 wife_age-0.016sol_index',0.641wife_age-0.566num_child+0.328husband_ed-0.308wife_ed-0.154sol_index+0.134wife_religion-0.105media_expo+0.098husband_occ+0.064employment,ClassValues
0.778956,0.782397,-0.691565,-0.081306,-0.165389,0.312021,-0.763749,-0.356434,0
1.792949,-2.75629,-0.772971,-0.08167,-1.91773,0.638011,0.554161,-0.143976,0
1.065717,-1.765869,-0.597407,0.007155,-1.516104,0.72196,0.467911,0.11782,0
1.709426,-2.003808,-0.709152,-0.012775,-1.477032,-0.437663,0.319978,-0.98718,0
1.440611,-0.950452,-0.909239,0.118287,-0.883461,-1.249863,0.879882,-0.65402,0
-0.654547,2.437873,-0.577432,0.3168,-0.002343,0.218005,0.8208,-0.115567,0
1.812452,-0.647997,-0.679159,0.184652,-0.865077,-0.838683,0.3698,0.285096,0
0.793187,2.134726,1.376928,-0.923696,-0.273083,-0.7652,0.201599,-0.287869,0
0.784849,0.605055,-0.422683,0.132373,-1.046453,1.27846,-0.048601,-0.167323,0
4.514088,-2.819758,0.20753,0.361535,1.876779,0.502282,-0.523521,-0.664418,0
2.727766,-0.442701,2.394244,-0.445018,1.87397,1.571279,0.999379,0.843927,0
0.338283,-1.248828,-0.90485,-0.369501,0.257543,0.00763,-0.923858,1.396248,0
-1.980139,-0.696063,1.126696,-1.6231,0.526032,0.081131,-0.270465,1.058142,0
0.28733,0.184733,1.513654,-0.967175,-0.647213,-0.004125,0.637372,1.894107,0
-0.41696,-0.008212,-0.695476,-0.029061,0.131412,-0.078958,0.105201,1.072835,0
1.604445,2.493543,-0.347013,0.758247,-0.394757,-0.953988,1.043074,1.465692,0
2.378956,-2.670749,-0.350244,-0.32882,-1.49105,0.996352,-1.875178,-0.107483,0
1.18799,-1.53996,-0.569478,-0.275044,-1.002137,0.835945,-1.062932,-0.469156,0
1.738945,-1.669231,-0.808496,-0.263924,-0.890805,-0.196953,-0.812588,-0.94704,0
4.196086,-1.274381,0.287611,0.52369,2.574446,-0.228567,-0.602891,-0.555876,0
1.007989,2.304653,1.381455,-0.537463,-0.44877,-1.645081,1.632382,0.775371,0
0.522435,2.43623,1.261099,-0.793234,0.245313,-1.667623,0.783691,0.746095,0
-2.48371,-1.232328,0.593373,1.820998,0.442501,-0.021772,-0.994001,0.986018,0
-1.825957,-0.300435,-0.778808,-0.362517,0.670722,0.490144,-0.476354,0.815927,0
-1.543582,-2.086586,-1.019066,-0.487269,0.25954,0.003818,0.0229,0.556,0
0.938412,-1.480281,-0.931665,0.075941,-1.115596,-0.318366,1.273743,0.204216,0
-1.978848,-0.194829,1.070524,-1.6227,0.576149,0.14128,-0.285258,0.590939,0
-2.047989,0.815598,1.067396,-1.591063,0.735325,0.330529,-0.426713,0.130318,0
-0.815269,1.968971,1.087276,-1.157661,0.708974,-1.187523,0.318937,0.171137,0
1.843713,-2.438883,-0.64519,-0.332964,-1.336467,0.830973,-1.091017,-0.335035,0
-1.238729,0.061685,-0.885734,-0.3886,0.520626,0.704495,-0.653291,0.255826,0
-0.106606,1.139056,-0.685382,0.326988,-0.007949,-0.955241,1.105659,0.496687,0
-0.201751,1.412582,1.021435,-1.435892,1.019814,-0.882833,-0.953586,0.819182,0
2.544981,0.952052,-0.292482,0.35564,-0.421497,-1.130875,-0.780072,0.612741,0
1.051707,1.593623,-0.346547,0.267712,-0.590761,0.65169,-0.277788,0.237656,0
3.785925,-2.388148,-0.05294,0.670761,1.618102,0.341992,1.667285,-0.220546,0
