K1,K2,K3,K4,K5,K6,K7,K8,K9,ClassValues
15.588457,5.196152,-1.732051,3.464102,5.196152,5.196152,8.660254,-8.660254,-3.464102,0
29.444864,6.928203,-1.732051,1.732051,8.660254,17.320508,10.392305,-6.928203,-15.588457,0
24.248711,6.928203,-1.732051,3.464102,8.660254,12.124356,10.392305,-8.660254,-10.392305,0
24.248711,6.928203,-1.732051,5.196152,8.660254,15.588457,8.660254,-8.660254,-13.856406,0
22.51666,6.928203,-1.732051,5.196152,5.196152,13.856406,10.392305,-10.392305,-12.124356,0
12.124356,6.928203,-1.732051,6.928203,5.196152,0,12.124356,-13.856406,1.732051,0
19.052559,6.928203,-1.732051,3.464102,5.196152,10.392305,10.392305,-8.660254,-8.660254,0
10.392305,6.928203,-1.732051,5.196152,3.464102,1.732051,10.392305,-10.392305,-1.732051,0
17.320508,6.928203,-1.732051,3.464102,8.660254,5.196152,10.392305,-8.660254,-3.464102,0
19.052559,6.928203,-1.732051,1.732051,6.928203,13.856406,5.196152,-3.464102,-12.124356,0
13.856406,8.660254,-1.732051,1.732051,5.196152,3.464102,10.392305,-6.928203,-3.464102,0
19.052559,3.464102,-1.732051,1.732051,1.732051,6.928203,8.660254,-8.660254,-5.196152,0
15.588457,3.464102,-1.732051,6.928203,1.732051,1.732051,8.660254,-13.856406,-1.732051,0
13.856406,6.928203,-1.732051,3.464102,3.464102,1.732051,12.124356,-10.392305,-1.732051,0
15.588457,5.196152,-1.732051,5.196152,3.464102,3.464102,10.392305,-12.124356,-1.732051,0
8.660254,8.660254,-1.732051,3.464102,3.464102,0,13.856406,-10.392305,1.732051,0
20.78461,5.196152,-1.732051,1.732051,10.392305,12.124356,5.196152,-3.464102,-10.392305,0
20.78461,5.196152,-1.732051,3.464102,8.660254,10.392305,6.928203,-6.928203,-8.660254,0
22.51666,5.196152,-1.732051,3.464102,6.928203,13.856406,6.928203,-6.928203,-12.124356,0
12.124356,6.928203,-1.732051,3.464102,5.196152,8.660254,5.196152,-5.196152,-6.928203,0
10.392305,8.660254,-1.732051,5.196152,1.732051,1.732051,13.856406,-12.124356,-1.732051,0
8.660254,6.928203,-1.732051,5.196152,0,0,12.124356,-12.124356,0,0
15.588457,1.732051,0,6.928203,3.464102,1.732051,8.660254,-13.856406,0,0
15.588457,3.464102,-1.732051,6.928203,3.464102,1.732051,8.660254,-13.856406,0,0
22.51666,3.464102,-1.732051,6.928203,3.464102,8.660254,8.660254,-13.856406,-6.928203,0
25.980762,6.928203,-1.732051,3.464102,5.196152,13.856406,12.124356,-10.392305,-12.124356,0
15.588457,3.464102,-1.732051,6.928203,1.732051,1.732051,8.660254,-13.856406,-1.732051,0
13.856406,3.464102,-1.732051,6.928203,1.732051,0,8.660254,-13.856406,0,0
10.392305,5.196152,-1.732051,6.928203,0,0,10.392305,-13.856406,0,0
24.248711,5.196152,-1.732051,1.732051,8.660254,13.856406,6.928203,-5.196152,-12.124356,0
