Algorithm	Iteration	Time	Optimization		Algorithm	Iteration	Time	Optimization		Algorithm	Iteration	Time	Optimization		Algorithm	Iteration	Time	Optimization
GA	1	0.01	77		RHC	1	0	71		SA	1	0	69		MIMIC	1	0.06	78
GA	501	0.23	87		RHC	501	0.01	79		SA	501	0.01	73		MIMIC	501	2.03	88
GA	1001	0.3	104		RHC	1001	0.01	84		SA	1001	0.01	86		MIMIC	1001	2.98	97
GA	1501	1.16	82		RHC	1501	0.04	84		SA	1501	0.01	98		MIMIC	1501	14	104
GA	2001	1.38	94		RHC	2001	0.02	111		SA	2001	0.01	94		MIMIC	2001	16.45	108
GA	2501	1.74	90		RHC	2501	0.02	83		SA	2501	0.11	110		MIMIC	2501	18.23	110
GA	3001	2.06	90		RHC	3001	0.02	82		SA	3001	0.03	100		MIMIC	3001	19.5	106
GA	3501	2.12	93		RHC	3501	0.04	84		SA	3501	0.11	104		MIMIC	3501	21.09	100
GA	4001	2.47	98		RHC	4001	0.03	105		SA	4001	0.01	112		MIMIC	4001	21.62	112
GA	4501	3.02	88		RHC	4501	0.08	76		SA	4501	0.04	96		MIMIC	4501	22.02	106
GA	5001	2.8	100		RHC	5001	0.02	78		SA	5001	0.03	112		MIMIC	5001	36.6	104
GA	5501	2.95	89		RHC	5501	0.09	92		SA	5501	0.03	108		MIMIC	5501	38.05	96
GA	6001	3.22	98		RHC	6001	0.03	94		SA	6001	0.01	112		MIMIC	6001	40.94	112
GA	6501	3.17	91		RHC	6501	0.04	92		SA	6501	0.09	94		MIMIC	6501	41.53	112
GA	7001	3.76	101		RHC	7001	0.05	76		SA	7001	0.09	89		MIMIC	7001	43.58	94
GA	7501	3.34	101		RHC	7501	0.04	85		SA	7501	0.07	88		MIMIC	7501	44.37	112
GA	8001	3.6	105		RHC	8001	0.07	76		SA	8001	0.03	105		MIMIC	8001	45.24	103
GA	8501	1.84	107		RHC	8501	0.08	83		SA	8501	0.1	104		MIMIC	8501	33.83	112
GA	9001	2.08	107		RHC	9001	0.04	84		SA	9001	0.03	108		MIMIC	9001	34.19	93
GA	9501	1.93	100		RHC	9501	0.1	87		SA	9501	0.08	110		MIMIC	9501	35.7	112
GA	10001	2.5	96		RHC	10001	0.05	89		SA	10001	0.04	110		MIMIC	10001	36.01	112
