buying-cluster1,maint-cluster1,doors-cluster1,person-cluster1,lug_boot-cluster1,safety-cluster1,ClassValues
2.42487184,2.42487184,2.29492201,0.09211225,1.81791289,0.06190144,unacc
2.42487184,2.42487184,2.29492201,0.09211225,0.12131289,3.29386201,unacc
2.42487184,2.42487184,2.29492201,0.09211225,0.12131289,0.66406201,unacc
2.42487184,2.42487184,2.29492201,0.09211225,0.42471289,3.29386201,unacc
2.42487184,2.42487184,2.29492201,0.48511225,0.42471289,3.29386201,unacc
2.42487184,2.42487184,2.29492201,2.87811225,1.81791289,3.29386201,unacc
2.42487184,2.42487184,2.29492201,2.87811225,0.42471289,3.29386201,unacc
2.42487184,2.42487184,2.29492201,2.87811225,0.42471289,0.66406201,unacc
2.42487184,2.42487184,0.26512201,0.09211225,1.81791289,0.03426201,unacc
2.42487184,2.42487184,0.26512201,0.48511225,1.81791289,3.29386201,unacc
2.42487184,2.42487184,0.26512201,0.48511225,1.81791289,0.03426201,unacc
2.42487184,2.42487184,0.23532201,0.09211225,1.81791289,0.66406201,unacc
2.42487184,2.42487184,0.23532201,0.09211225,0.42471289,3.29386201,unacc
2.42487184,2.42487184,0.23532201,0.48511225,1.81791289,3.29386201,unacc
2.42487184,2.42487184,0.23532201,0.48511225,0.42471289,3.29386201,unacc
2.42487184,2.42487184,0.23532201,2.87811225,1.81791289,0.66406201,unacc
2.42487184,2.42487184,0.23532201,2.87811225,0.12131289,3.29386201,unacc
2.42487184,2.42487184,0.23532201,2.87811225,0.12131289,0.03426201,unacc
2.42487184,2.42487184,0.23532201,2.87811225,0.42471289,0.66406201,unacc
2.42487184,2.42487184,2.20552201,0.09211225,0.12131289,0.66406201,unacc
2.42487184,2.42487184,2.20552201,0.09211225,0.12131289,0.03426201,unacc
2.42487184,2.42487184,2.20552201,0.48511225,1.81791289,0.03426201,unacc
2.42487184,2.42487184,2.20552201,0.48511225,0.42471289,0.66406201,unacc
2.42487184,2.42487184,2.20552201,2.87811225,0.12131289,0.66406201,unacc
2.42487184,2.42487184,2.20552201,2.87811225,0.42471289,3.29386201,unacc
2.42487184,0.31047184,2.29492201,0.09211225,0.42471289,3.29386201,unacc
2.42487184,0.31047184,2.29492201,0.48511225,0.42471289,3.29386201,unacc
2.42487184,0.31047184,2.29492201,2.87811225,0.42471289,3.29386201,unacc
2.42487184,0.31047184,0.26512201,0.09211225,1.81791289,3.29386201,unacc
2.42487184,0.31047184,0.26512201,0.09211225,1.81791289,0.03426201,unacc
2.42487184,0.31047184,0.26512201,0.09211225,0.42471289,0.66406201,unacc
2.42487184,0.31047184,0.26512201,0.09211225,0.42471289,0.03426201,unacc
2.42487184,0.31047184,0.26512201,0.48511225,0.12131289,0.66406201,unacc
2.42487184,0.31047184,0.26512201,0.48511225,0.12131289,0.03426201,unacc
2.42487184,0.31047184,0.26512201,0.48511225,0.42471289,0.03426201,unacc
2.42487184,0.31047184,0.26512201,2.87811225,0.12131289,0.66406201,unacc
2.42487184,0.31047184,0.26512201,2.87811225,0.42471289,0.66406201,unacc
