buying,maint,doors,persons,lug_boot,safety,buying-cluster3,maint-cluster3,doors-cluster3,person-cluster3,lug_boot-cluster3,safety-cluster3,ClassValues,,,buying,maint,doors,persons,lug_boot,safety
0,0,0,0,0,0,1.71295744,1.74424849,1.94435136,2.72712196,0.36433296,0.258064,unacc,,0-Cluster,1.8149,1.8014,1.6163,1.5621,1.3679,1.614
0,0,0,0,1,0,1.71295744,1.74424849,1.94435136,2.72712196,0.15713296,0.258064,unacc,,1-Cluster,1.5572,1.5572,1.5149,0.3035,1.3483,0.2488
0,0,0,0,1,1,1.71295744,1.74424849,1.94435136,2.72712196,0.15713296,0.242064,unacc,,2-Cluster,1.3255,1.3255,1.4882,0.2231,0.727,1.727
0,0,0,0,2,0,1.71295744,1.74424849,1.94435136,2.72712196,1.94993296,0.258064,unacc,,3-Cluster,1.3088,1.3207,1.3944,1.6514,0.6036,0.508
0,0,0,1,2,0,1.71295744,1.74424849,1.94435136,0.42432196,1.94993296,0.258064,unacc,,,,,,,,
0,0,0,2,0,0,1.71295744,1.74424849,1.94435136,0.12152196,0.36433296,0.258064,unacc,,,,,,,,
0,0,0,2,2,0,1.71295744,1.74424849,1.94435136,0.12152196,1.94993296,0.258064,unacc,,,,,,,,
0,0,0,2,2,1,1.71295744,1.74424849,1.94435136,0.12152196,1.94993296,0.242064,unacc,,,,,,,,
0,0,1,0,0,2,1.71295744,1.74424849,0.15555136,2.72712196,0.36433296,2.226064,unacc,,,,,,,,
0,0,1,1,0,0,1.71295744,1.74424849,0.15555136,0.42432196,0.36433296,0.258064,unacc,,,,,,,,
0,0,1,1,0,2,1.71295744,1.74424849,0.15555136,0.42432196,0.36433296,2.226064,unacc,,,,,,,,
0,0,2,0,0,1,1.71295744,1.74424849,0.36675136,2.72712196,0.36433296,0.242064,unacc,,,,,,,,
0,0,2,0,2,0,1.71295744,1.74424849,0.36675136,2.72712196,1.94993296,0.258064,unacc,,,,,,,,
0,0,2,1,0,0,1.71295744,1.74424849,0.36675136,0.42432196,0.36433296,0.258064,unacc,,,,,,,,
0,0,2,1,2,0,1.71295744,1.74424849,0.36675136,0.42432196,1.94993296,0.258064,unacc,,,,,,,,
0,0,2,2,0,1,1.71295744,1.74424849,0.36675136,0.12152196,0.36433296,0.242064,unacc,,,,,,,,
0,0,2,2,1,0,1.71295744,1.74424849,0.36675136,0.12152196,0.15713296,0.258064,unacc,,,,,,,,
0,0,2,2,1,2,1.71295744,1.74424849,0.36675136,0.12152196,0.15713296,2.226064,unacc,,,,,,,,
0,0,2,2,2,1,1.71295744,1.74424849,0.36675136,0.12152196,1.94993296,0.242064,unacc,,,,,,,,
0,0,3,0,1,1,1.71295744,1.74424849,2.57795136,2.72712196,0.15713296,0.242064,unacc,,,,,,,,
0,0,3,0,1,2,1.71295744,1.74424849,2.57795136,2.72712196,0.15713296,2.226064,unacc,,,,,,,,
0,0,3,1,0,2,1.71295744,1.74424849,2.57795136,0.42432196,0.36433296,2.226064,unacc,,,,,,,,
0,0,3,1,2,1,1.71295744,1.74424849,2.57795136,0.42432196,1.94993296,0.242064,unacc,,,,,,,,
0,0,3,2,1,1,1.71295744,1.74424849,2.57795136,0.12152196,0.15713296,0.242064,unacc,,,,,,,,
