	Iterations	Training Eror	Test Error	Training Time	Test Time			Iterations	Training Eror	Test Error	Training Time	Test Time			Iterations	Training Eror	Test Error	Training Time	Test Time
GA	1	0.077	0.078	0.361	0.097		RHC	1	0.923	0.922	0.001	0.222		SA	1	0.923	0.922	0.001	0.06
GA	501	0.077	0.078	126.753	0.018		RHC	501	0.077	0.078	1.584	0.253		SA	501	0.923	0.922	1.525	0.011
GA	1001	0.077	0.078	233.513	0.013		RHC	1001	0.077	0.078	3.188	0.22		SA	1001	0.077	0.078	3.095	0.049
GA	1501	0.077	0.078	317.813	0.024		RHC	1501	0.077	0.078	4.057	0.162		SA	1501	0.077	0.078	4.303	0.071
GA	2001	0.077	0.078	382.653	0.011		RHC	2001	0.077	0.078	5.3	0.216		SA	2001	0.077	0.078	5.591	0.036
GA	2501	0.077	0.078	432.897	0.008		RHC	2501	0.077	0.078	6.741	0.269		SA	2501	0.041	0.04	7.126	0.008
GA	3001	0.077	0.078	468.231	0.016		RHC	3001	0.041	0.038	8.277	0.24		SA	3001	0.041	0.038	8.387	0.217
GA	3501	0.077	0.078	491.245	0.016		RHC	3501	0.077	0.078	9.634	0.267		SA	3501	0.041	0.04	9.561	0.017
GA	4001	0.077	0.078	508.823	0.009		RHC	4001	0.077	0.078	10.824	0.214		SA	4001	0.038	0.035	11.361	0.099
GA	4501	0.077	0.078	521.72	0.003		RHC	4501	0.038	0.038	12.277	0.291		SA	4501	0.044	0.04	12.549	0.071
GA	5001	0.077	0.078	348.715	0.011		RHC	5001	0.077	0.078	3.461	0.066		SA	5001	0.077	0.078	4.078	0.027
GA	5501	0.05	0.055	380.683	0.015		RHC	5501	0.04	0.032	3.914	0.061		SA	5501	0.077	0.078	4.418	0.02
GA	6001	0.077	0.078	404.605	0.011		RHC	6001	0.077	0.078	4.372	0.061		SA	6001	0.038	0.038	4.686	0.028
GA	6501	0.077	0.078	422.464	0.015		RHC	6501	0.077	0.078	4.773	0.052		SA	6501	0.077	0.078	5.044	0.027
GA	7001	0.077	0.078	440.434	0.01		RHC	7001	0.077	0.078	5.243	0.071		SA	7001	0.077	0.078	5.275	0.022
GA	7501	0.077	0.078	453.676	0.006		RHC	7501	0.077	0.078	5.727	0.086		SA	7501	0.077	0.078	5.459	0.019
GA	8001	0.077	0.078	470.813	0.006		RHC	8001	0.077	0.078	6.166	0.053		SA	8001	0.038	0.038	5.894	0.062
GA	8501	0.043	0.043	339.785	0.013		RHC	8501	0.077	0.078	3.357	0.069		SA	8501	0.039	0.035	3.573	0.021
GA	9001	0.077	0.078	358.481	0.008		RHC	9001	0.077	0.078	3.63	0.05		SA	9001	0.077	0.078	3.732	0.02
GA	9501	0.077	0.078	371.247	0.006		RHC	9501	0.077	0.078	3.971	0.051		SA	9501	0.077	0.078	3.83	0.009
GA	10001	0.077	0.078	388.166	0.007		RHC	10001	0.077	0.078	4.192	0.059		SA	10001	0.077	0.078	4.082	0.022
