Algorithm,Iterations,Time,Optimization,,Algorithm,Iterations,Time,Optimization,,Algorithm,Iterations,Time,Optimization,,Algorithm,Iterations,Time,Optimization
GA,1,0,350,,RHC,1,0,317,,SA,1,0,340,,MIMIC,1,0.01,350
GA,501,0.25,350,,RHC,501,0.02,340,,SA,501,0.01,340,,MIMIC,501,1.09,350
GA,1001,0.43,350,,RHC,1001,0.03,340,,SA,1001,0.01,340,,MIMIC,1001,1.44,350
GA,1501,0.86,350,,RHC,1501,0.06,340,,SA,1501,0.01,340,,MIMIC,1501,3.03,350
GA,2001,0.96,350,,RHC,2001,0.06,340,,SA,2001,0.01,340,,MIMIC,2001,3.45,350
GA,2501,1.4,350,,RHC,2501,0.08,340,,SA,2501,0.02,340,,MIMIC,2501,3.6,350
GA,3001,1.32,350,,RHC,3001,0.04,340,,SA,3001,0.03,340,,MIMIC,3001,5.09,350
GA,3501,1.7,350,,RHC,3501,0.06,340,,SA,3501,0.04,340,,MIMIC,3501,5.27,350
GA,4001,1.67,350,,RHC,4001,0.05,340,,SA,4001,0.02,340,,MIMIC,4001,5.75,350
GA,4501,1.78,350,,RHC,4501,0.07,340,,SA,4501,0.03,340,,MIMIC,4501,6.83,350
GA,5001,1.95,350,,RHC,5001,0.05,340,,SA,5001,0.06,340,,MIMIC,5001,7.24,350
GA,5501,2.47,350,,RHC,5501,0.06,340,,SA,5501,0.06,340,,MIMIC,5501,7.89,350
GA,6001,2.08,350,,RHC,6001,0.07,340,,SA,6001,0.07,340,,MIMIC,6001,8.23,350
GA,6501,2.41,350,,RHC,6501,0.08,340,,SA,6501,0.07,340,,MIMIC,6501,8.64,350
GA,7001,2.72,350,,RHC,7001,0.11,340,,SA,7001,0.06,340,,MIMIC,7001,8.72,350
GA,7501,2.72,350,,RHC,7501,0.08,340,,SA,7501,0.07,340,,MIMIC,7501,10.24,350
GA,8001,2.92,350,,RHC,8001,0.1,340,,SA,8001,0.08,340,,MIMIC,8001,10.63,350
GA,8501,3.21,350,,RHC,8501,0.11,340,,SA,8501,0.07,340,,MIMIC,8501,10.79,350
GA,9001,3.21,350,,RHC,9001,0.12,340,,SA,9001,0.07,340,,MIMIC,9001,12.6,350
GA,9501,3.44,350,,RHC,9501,0.1,340,,SA,9501,0.11,340,,MIMIC,9501,12.84,350
GA,10001,3.7,350,,RHC,10001,0.11,340,,SA,10001,0.09,340,,MIMIC,10001,12.98,350
,,,,,,,,,,,,,,,,,,
,,,7350,,,,,7117,,,,,7140,,,,,7350
