Algorithm,Iterations,Time,Optimization,,Algorithm,Iterations,Time,Optimization,,Algorithm,Iterations,Time,Optimization,,Algorithm,Iterations,Time,Optimization
GA,1,0,0.04,,RHC,1,0,0.04,,SA,1,0,0.04,,MIMIC,1,0.28,0.04
GA,501,0,0.04,,RHC,501,0.01,0.08,,SA,501,0.01,0.04,,MIMIC,501,10.53,0.09
GA,1001,0,0.05,,RHC,1001,0.01,0.09,,SA,1001,0,0.07,,MIMIC,1001,20.51,0.09
GA,1501,0,0.04,,RHC,1501,0.03,0.1,,SA,1501,0,0.08,,MIMIC,1501,38.23,0.1
GA,2001,0,0.05,,RHC,2001,0.03,0.09,,SA,2001,0.01,0.1,,MIMIC,2001,47.71,0.09
GA,2501,0.02,0.05,,RHC,2501,0.03,0.1,,SA,2501,0,0.11,,MIMIC,2501,57.35,0.11
GA,3001,0.01,0.04,,RHC,3001,0.05,0.1,,SA,3001,0.01,0.12,,MIMIC,3001,77.7,0.08
GA,3501,0.01,0.04,,RHC,3501,0.04,0.1,,SA,3501,0.02,0.1,,MIMIC,3501,86.59,0.1
GA,4001,0.01,0.04,,RHC,4001,0.03,0.12,,SA,4001,0.03,0.1,,MIMIC,4001,96.3,0.1
GA,4501,0.01,0.05,,RHC,4501,0.03,0.12,,SA,4501,0.03,0.12,,MIMIC,4501,114.37,0.11
GA,5001,0.01,0.04,,RHC,5001,0.03,0.14,,SA,5001,0.12,0.1,,MIMIC,5001,123.41,0.1
GA,5501,0.01,0.04,,RHC,5501,0.04,0.11,,SA,5501,0.01,0.11,,MIMIC,5501,132.85,0.1
GA,6001,0.04,0.05,,RHC,6001,0.03,0.11,,SA,6001,0.03,0.1,,MIMIC,6001,146.34,0.1
GA,6501,0.03,0.05,,RHC,6501,0.06,0.11,,SA,6501,0.02,0.11,,MIMIC,6501,154.47,0.12
GA,7001,0.03,0.05,,RHC,7001,0.06,0.11,,SA,7001,0.03,0.11,,MIMIC,7001,164.47,0.09
GA,7501,0.03,0.05,,RHC,7501,0.07,0.11,,SA,7501,0.04,0.11,,MIMIC,7501,180.31,0.11
GA,8001,0.04,0.05,,RHC,8001,0.05,0.11,,SA,8001,0.05,0.12,,MIMIC,8001,189.71,0.09
GA,8501,0.05,0.04,,RHC,8501,0.07,0.12,,SA,8501,0.02,0.11,,MIMIC,8501,198.71,0.11
GA,9001,0.05,0.05,,RHC,9001,0.05,0.11,,SA,9001,0.03,0.1,,MIMIC,9001,216.31,0.13
GA,9501,0.04,0.05,,RHC,9501,0.05,0.11,,SA,9501,0.05,0.11,,MIMIC,9501,225.88,0.13
GA,10001,0.05,0.05,,RHC,10001,0.12,0.11,,SA,10001,0.03,0.13,,MIMIC,10001,234.54,0.13
,,,0.96,,,,,2.19,,,,,2.09,,,,,2.12
