wife_age,wife_ed,husband_ed,num_child,wife_religion,employment,husband_occ,sol_index,media_expo,ClassValues
33,4,4,2,0,1,1,4,0,No-use
20,3,4,1,0,1,2,4,0,Short-term
27,3,2,5,1,1,2,4,0,Long-term
38,4,4,4,1,1,2,4,0,Long-term
36,3,3,4,1,1,1,3,0,Long-term
49,4,4,6,0,0,1,4,0,No-use
48,4,4,7,0,1,1,4,0,Long-term
29,3,4,2,1,1,1,4,0,Long-term
32,4,4,4,1,1,1,3,0,Short-term
45,1,1,8,1,1,2,2,1,No-use
24,4,4,2,1,0,1,3,0,Long-term
24,2,2,4,1,1,3,4,0,No-use
44,4,4,1,1,0,1,4,0,No-use
42,2,4,1,1,0,3,3,0,No-use
43,2,3,3,0,1,2,3,0,No-use
44,4,4,11,1,1,1,4,0,Short-term
25,1,2,3,1,1,2,3,0,Short-term
39,2,2,6,1,1,2,4,0,No-use
22,4,4,1,0,1,3,1,0,Short-term
24,3,3,2,1,1,3,3,0,Short-term
28,3,4,3,1,1,1,4,0,Short-term
22,4,4,3,1,1,3,2,0,Short-term
28,2,3,2,1,1,3,3,0,Long-term
39,4,4,1,1,1,1,4,0,No-use
44,4,4,3,1,0,1,4,1,No-use
41,1,4,5,1,0,2,4,0,Short-term
38,4,4,1,1,0,1,4,0,No-use
19,2,4,1,1,1,2,3,0,Short-term
24,4,4,0,1,0,2,2,0,No-use
43,1,2,8,1,1,2,4,0,No-use
29,2,3,3,1,0,3,2,0,Short-term
18,3,4,1,1,1,3,4,0,Long-term
37,4,4,3,0,1,3,4,0,Short-term
41,3,4,3,0,1,2,4,0,No-use
24,1,4,1,1,0,4,2,1,Long-term
49,3,4,9,1,1,1,4,0,No-use
36,4,4,4,1,1,1,4,0,Short-term
47,2,3,5,1,1,1,1,0,No-use
22,3,3,2,1,1,2,4,0,No-use
25,4,4,2,1,1,2,4,0,Long-term
40,4,4,5,1,1,1,3,0,Long-term
24,4,4,1,1,1,2,4,0,Long-term
48,2,4,2,1,1,1,3,0,No-use
40,4,4,2,0,1,1,4,0,No-use
25,4,4,2,0,1,1,3,0,Long-term
39,4,4,2,1,0,1,4,0,No-use
45,3,4,0,1,1,1,3,0,No-use
22,4,4,1,1,0,2,2,0,Long-term
25,4,4,0,1,0,3,4,0,No-use
26,4,4,0,1,0,1,4,0,No-use
